Deterministic_CK	Deterministic_TR	Stochastic_CK	Stochastic_TR	HeS_CK	HeS_TR	HoS_CK	HoS_TR	DL_CK	DL_TR	DR_CK	DR_TR	HD_CK	HD_TR
0.521902881	0.4960509	0.478097119	0.5039491	0.383769685	0.227377992	0.138133197	0.268672907	0.12856516	0.151723465	0.220832724	0.117168836	0.128699235	0.235056799
0.521902881	0.605467798	0.478097119	0.394532202	0.383769685	0.446711521	0.138133197	0.158756277	0.12856516	0.170640144	0.220832724	0.157549608	0.128699235	0.06634245
0.521902881	0.527838721	0.478097119	0.472161279	0.383769685	0.313344059	0.138133197	0.214494661	0.12856516	0.152978889	0.220832724	0.181268588	0.128699235	0.137913802
0.38707279	0.497318512	0.61292721	0.502681488	0.257374092	0.311150115	0.129698698	0.186168397	0.284335235	0.185693043	0.243332846	0.237201989	0.085259129	0.079786456
0.38707279	0.440227195	0.61292721	0.559772805	0.257374092	0.203208035	0.129698698	0.23701916	0.284335235	0.227987421	0.243332846	0.253559066	0.085259129	0.078226318
0.38707279	0.426539418	0.61292721	0.573460582	0.257374092	0.278009361	0.129698698	0.148530057	0.284335235	0.249585588	0.243332846	0.251864853	0.085259129	0.072010141
0.480900492	0.447966945	0.519099508	0.552033055	0.27062308	0.245027059	0.210277412	0.202939886	0.15228414	0.240529472	0.214665302	0.254863244	0.152150066	0.056640339
0.480900492	0.502328019	0.519099508	0.497671981	0.27062308	0.390046804	0.210277412	0.112281215	0.15228414	0.208022524	0.214665302	0.22344108	0.152150066	0.066208376
0.480900492	0.565306421	0.519099508	0.434693579	0.27062308	0.453719955	0.210277412	0.111586466	0.15228414	0.158098094	0.214665302	0.234374238	0.152150066	0.042221247
0.432524012	0.557895763	0.567475988	0.442104237	0.242077422	0.307335088	0.19044659	0.250560675	0.250804446	0.116461898	0.285310321	0.183864755	0.031361221	0.141777583
0.432524012	0.559906879	0.567475988	0.440093121	0.242077422	0.421529911	0.19044659	0.138376968	0.250804446	0.126517478	0.285310321	0.228877188	0.031361221	0.084698454
0.432524012	0.43803325	0.567475988	0.56196675	0.242077422	0.251706401	0.19044659	0.186326849	0.250804446	0.213568329	0.285310321	0.315635513	0.031361221	0.032762908
0.331504503	0.320774663	0.668495497	0.679225337	0.084580743	0.034557487	0.24692376	0.286217176	0.335320732	0.423083428	0.289758552	0.226859487	0.043416212	0.029282422
0.324485179	0.318163559	0.675514821	0.681836441	0.10974037	0.173654277	0.21474481	0.144509282	0.385967694	0.461552286	0.157311091	0.166465813	0.132236035	0.053818343
0.304674616	0.261205548	0.695325384	0.738794452	0.085363017	0.035984608	0.219311599	0.22522094	0.256363905	0.223910102	0.339580955	0.368038818	0.099380523	0.146845533
0.371083582	0.392169777	0.628916418	0.607830223	0.270155768	0.265691809	0.100927813	0.126477968	0.279091527	0.217654592	0.28615075	0.326862161	0.063674141	0.06331347
0.371083582	0.395679787	0.628916418	0.604320213	0.270155768	0.305603471	0.100927813	0.090076316	0.279091527	0.252697193	0.28615075	0.262518948	0.063674141	0.089104072
0.371083582	0.406967749	0.628916418	0.593032251	0.270155768	0.226969317	0.100927813	0.179998432	0.279091527	0.225926507	0.28615075	0.327034656	0.063674141	0.040071089
0.371083582	0.330871361	0.628916418	0.669128639	0.270155768	0.250355444	0.100927813	0.080515917	0.279091527	0.262620877	0.28615075	0.372152527	0.063674141	0.034355235
0.452263342	0.393100204	0.547736658	0.606899796	0.292007736	0.259863572	0.160255606	0.133236632	0.226349903	0.293013956	0.268323663	0.26312268	0.053063091	0.050763159
0.452263342	0.425696514	0.547736658	0.574303486	0.292007736	0.31438503	0.160255606	0.111311484	0.226349903	0.233356855	0.268323663	0.27241127	0.053063091	0.068535361
0.452263342	0.408635199	0.547736658	0.591364801	0.292007736	0.280691025	0.160255606	0.127944174	0.226349903	0.256541739	0.268323663	0.260726047	0.053063091	0.074097015
0.452263342	0.391427526	0.547736658	0.608572474	0.292007736	0.304730542	0.160255606	0.086696984	0.226349903	0.279297998	0.268323663	0.242661126	0.053063091	0.08661335
0.387367469	0.410344872	0.612632531	0.589655128	0.126468407	0.169055796	0.260899062	0.241289076	0.19571869	0.223094485	0.394188164	0.342573079	0.022725676	0.023987563
0.180012415	0.114119077	0.819987585	0.885880923	0.01813832	0.037355162	0.161874095	0.076763915	0	0.600025864	0.646764432	0.272348955	0.173223153	0.013506104
0.33585	0.195416667	0.66415	0.804583333	0.1399	0.112216667	0.19595	0.0832	0.5066	0.68475	0.14675	0.106833333	0.0108	0.013
0.46012	0.537183333	0.53988	0.462816667	0.26689	0.16262	0.19323	0.374563333	0.347686667	0.274193333	0.173333333	0.14929	0.01886	0.039333333
0.554963333	0.431596667	0.445036667	0.568403333	0.23592	0.156066667	0.319043333	0.27553	0.24774	0.43209	0.155053333	0.105416667	0.042243333	0.030896667
0.427853254	0.577056643	0.572146746	0.422943357	0.044775682	0.014278005	0.383077573	0.562778638	0.144140973	0.008810831	0.263157586	0.31507227	0.164848186	0.099060256
0.562579192	0.564121967	0.437420808	0.435878033	0.024819325	0.020449106	0.537759867	0.543672861	0.071624666	0.020050214	0.247858886	0.320697827	0.117937257	0.095129992
0.456151157	0.633734572	0.543848843	0.366265428	0.040229481	0.004540335	0.415921676	0.629194237	0.053662772	0.01386738	0.310831104	0.216387442	0.179354967	0.136010606
0.51383805	0.572522174	0.48616195	0.427477826	0.029529776	0.027112957	0.484308273	0.545409217	0.083362664	0.043461683	0.308079919	0.245664977	0.094719367	0.138351166
0.257561793	0.257882977	0.742438207	0.742117023	0.024060885	0.006870549	0.233500908	0.251012428	0.570995671	0.546906857	0.168509985	0.195210166	0.002932551	0
0.257561793	0.388646837	0.742438207	0.611353163	0.024060885	0.011618489	0.233500908	0.377028348	0.570995671	0.338695713	0.168509985	0.267518503	0.002932551	0.005138947
0.473654135	0.196752594	0.526345865	0.803247406	0.006435731	0.011321687	0.467218405	0.185430907	0.251197099	0.606656911	0.171297811	0.183336666	0.103850955	0.01325383
0.473654135	0.256909601	0.526345865	0.743090399	0.006435731	0.008829019	0.467218405	0.248080582	0.251197099	0.46165891	0.171297811	0.251885786	0.103850955	0.029545702
0.505072527	0.441350476	0.494927473	0.558649524	0.053938462	0.056424762	0.451134066	0.384925714	0.052474725	0.073773333	0.29437033	0.325441905	0.148082418	0.159434286
0.168392579	0.43643621	0.831607421	0.563563749	0	0	0.168392579	0.43643621	0.831607421	0	0	0.563469649	0	0.0000941
0.168392579	0.340375057	0.831607421	0.659624944	0	0.093029824	0.168392579	0.247345233	0.831607421	0.558932068	0	0.099657328	0	0.001035548
0.416180141	0.400618169	0.583819859	0.599381831	0.009002111	0.02622423	0.40717803	0.374393939	0.281575075	0.30067949	0.22797007	0.223935047	0.074274714	0.074767294
0.485066753	0.417063463	0.514933246	0.582936538	0.006254812	0.006126894	0.478811941	0.410936569	0.173638071	0.228746585	0.256390493	0.279021361	0.084904682	0.075168592
0.544440357	0.483835693	0.455559644	0.516164307	0.005739413	0.005284401	0.538700944	0.478551292	0.152141704	0.221255433	0.205448802	0.224395647	0.097969138	0.070513227
0.49088239	0.44739661	0.50911761	0.55260339	0.007719045	0.015969014	0.483163345	0.431427596	0.23902695	0.257384966	0.159830787	0.183634501	0.110259873	0.111583923
0.458042102	0.388412351	0.541957899	0.611587649	0.032181446	0.042618604	0.425860656	0.345793747	0.258706843	0.338664152	0.147705229	0.154756427	0.135545827	0.11816707
0.432356629	0.375028425	0.56764337	0.624971575	0.05614253	0.037336459	0.376214099	0.337691966	0.216956887	0.289333998	0.304273098	0.315011136	0.046413385	0.020626441
0.432356629	0.342762912	0.56764337	0.657237089	0.05614253	0.049925628	0.376214099	0.292837284	0.216956887	0.268494954	0.304273098	0.271046586	0.046413385	0.117695549
0.432356629	0.447824902	0.56764337	0.552175098	0.05614253	0.035362672	0.376214099	0.41246223	0.216956887	0.106557224	0.304273098	0.363179475	0.046413385	0.082438399
0.095485369	0.088497592	0.904514631	0.911502408	0.004345101	0	0.091140268	0.088497592	0.195565148	0.356412229	0.698549734	0.542760065	0.010399749	0.012330114
0.113216646	0.220556963	0.886783354	0.779443037	0.00981784	0.014606957	0.103398806	0.205950006	0.520237689	0.413400543	0.355038606	0.315590538	0.011507059	0.050451956
0.097363739	0.264072337	0.902636261	0.735927663	0.049086204	0	0.048277535	0.264072337	0.624052809	0.242942117	0.263724909	0.391237024	0.014858543	0.101748522
0.207669177	0.332635482	0.792330824	0.667364518	0.054204779	0.034658951	0.153464398	0.297976531	0.65205971	0.267085377	0.140271114	0.294340516	0	0.105938625
0.273542748	0.30691981	0.726457252	0.69308019	0.01902768	0.041790213	0.254515068	0.265129597	0.415718727	0.255536387	0.269020193	0.382850828	0.041718332	0.054692975
0.243011004	0.271988307	0.756988996	0.728011693	0.029776987	0.017617002	0.213234017	0.254371305	0.576200574	0.301855146	0.173732037	0.32676814	0.007056385	0.099388407
0.14845664	0.251367249	0.85154336	0.748632751	0.006325588	0.032565397	0.142131052	0.218801852	0.623280081	0.499520789	0.225364051	0.230365818	0.002899228	0.018746144
0.14566224	0.186497026	0.85433776	0.813502974	0.048124787	0.053426061	0.097537453	0.133070965	0.311783804	0.43400363	0.416817918	0.337373683	0.125736038	0.042125661
